GEOID,district
08001001001,3
08001001002,3
08001001003,3
08001001004,3
08001001005,3
08001001006,7
08001001007,7
08001001008,3
08001001009,7
08001001010,3
08001001011,3
08001001012,7
08001001013,3
08001001014,3
08001001015,3
08001001016,7
08001001017,7
08001001018,3
08001001019,3
08001001020,3
08001001021,7
08001001022,3
08001001023,7
08001001024,3
08001001025,3
08001001026,3
08001001027,3
08001001028,3
08001001029,7
08001001030,7
08001001031,3
08001001032,3
08001001033,7
08001001034,3
08001001035,7
08001001036,7
08001001037,2
08001001038,2
08001001039,2
08001001040,7
08001001041,7
08001001042,7
08001001043,7
08001001044,3
08001001045,3
08001001046,7
08001001047,7
08001001048,2
08001001049,2
08001001050,2
08001001051,2
08001001052,2
08001001053,2
08001001054,2
08001001055,2
08001001056,2
08001001057,7
08001001058,2
08001001059,7
08001001060,7
08001001061,7
08001001062,7
08001001063,2
08001001064,2
08001001065,2
08001001066,2
08001001067,2
08001001068,7
08001001069,7
08001001070,7
08001001071,7
08001001072,2
08001001073,7
08001001074,2
08001001075,7
08001001076,2
08001001077,2
08001001078,2
08001001079,7
08001001080,2
08001001081,2
08001001082,2
08001001083,2
08001001084,7
08001001085,2
08001001086,2
08001001087,7
08001001088,7
08001001089,2
08001001090,7
08001001091,2
08001001092,7
08001001093,2
08001001094,7
08001001095,2
08001001096,2
08001001097,2
08001001098,2
08001001099,7
08001001100,7
08001001101,2
08001001102,3
08001001103,7
08001001104,7
08001001105,7
08001001106,3
08001001107,3
08001001108,7
08001001109,7
08001001110,3
08001001111,3
08001001112,3
08001001113,3
08001001114,7
08001001115,3
08001001116,7
08001001117,3
08001001118,3
08001001119,3
08001001120,3
08001001121,7
08001001122,7
08001001123,3
08001001124,7
08001001125,3
08001001126,3
08001001127,3
08001001128,3
08001001129,7
08001001130,3
08001001131,3
08001001132,3
08001001133,7
08001001134,7
08001001135,7
08001001136,7
08001001137,2
08001001138,7
08001001139,7
08001001140,3
08001001141,3
08001001142,7
08001001143,7
08001001144,7
08001001145,2
08001001146,2
08001001147,2
08001001148,7
08001001149,2
08001001150,2
08001001151,2
08001001152,2
08001001153,2
08001001154,7
08001001155,2
08001001156,2
08001001157,7
08001001158,7
08001001159,7
08001001160,2
08001001161,2
08001001162,7
08001001163,7
08001001164,2
08001001165,7
08001001166,7
08001001167,2
08001001168,7
08001001169,7
08001001170,2
08001001171,7
08001001172,7
08001001173,2
08001001174,2
08001001175,2
08001001176,2
08001001177,2
08001001178,7
08001001179,2
08001001180,7
08001001181,7
08001001182,7
08001001183,2
08001001184,2
08001001185,2
08001001186,2
08001001187,7
08001001188,7
08001001189,7
08001001190,7
08001001191,7
08001001192,2
08001001193,2
08001001194,2
08001001195,2
08001001196,7
08001001197,7
08001001198,7
08001001199,2
08001001200,7
08001001201,2
08001001202,2
08001001203,7
08001001204,2
08001001205,3
08001001206,7
08001001207,7
08001001208,7
08001001209,2
08001001210,7
08001001211,2
08001001212,2
08001001213,7
08001001214,7
08001001215,7
08001001216,2
08001001217,2
08001001218,2
08001001219,7
08001001220,7
08001001221,2
08001001222,7
08001001223,7
08001001224,7
08001001225,7
08001001226,2
08001001227,7
08001001228,7
08001001229,3
08001001230,1
08001001231,1
08001001232,1
08001001233,1
08001001234,1
08001001235,1
08001001236,1
08001001237,7
08001001238,7
08001001239,7
08001001240,7
08001001241,4
08001001242,4
08001001243,2
08001001244,2
08001001245,4
08001001246,4
08001001247,4
08001001248,6
08001001249,2
08001001250,7
08001001251,6
08001001252,7
08001001253,3
08001001254,7
08001001255,3
08003003001,8
08003003002,8
08003003003,6
08003003004,8
08003003005,8
08003003006,6
08003003007,6
08003003008,8
08005005101,3
08005005102,3
08005005103,3
08005005104,3
