GEOID,district
08001001001,1
08001001002,3
08001001003,3
08001001004,3
08001001005,3
08001001006,3
08001001007,1
08001001008,1
08001001009,1
08001001010,1
08001001011,3
08001001012,1
08001001013,1
08001001014,3
08001001015,3
08001001016,3
08001001017,1
08001001018,1
08001001019,3
08001001020,3
08001001021,3
08001001022,3
08001001023,3
08001001024,3
08001001025,3
08001001026,3
08001001027,3
08001001028,3
08001001029,3
08001001030,3
08001001031,3
08001001032,1
08001001033,3
08001001034,1
08001001035,3
08001001036,3
08001001037,3
08001001038,3
08001001039,3
08001001040,3
08001001041,3
08001001042,3
08001001043,3
08001001044,3
08001001045,3
08001001046,3
08001001047,3
08001001048,3
08001001049,3
08001001050,3
08001001051,3
08001001052,3
08001001053,3
08001001054,3
08001001055,3
08001001056,3
08001001057,6
08001001058,6
08001001059,6
08001001060,6
08001001061,3
08001001062,6
08001001063,6
08001001064,6
08001001065,6
08001001066,6
08001001067,6
08001001068,6
08001001069,6
08001001070,6
08001001071,3
08001001072,6
08001001073,6
08001001074,6
08001001075,3
08001001076,3
08001001077,3
08001001078,3
08001001079,3
08001001080,3
08001001081,3
08001001082,3
08001001083,3
08001001084,3
08001001085,3
08001001086,3
08001001087,3
08001001088,3
08001001089,3
08001001090,3
08001001091,3
08001001092,3
08001001093,3
08001001094,3
08001001095,3
08001001096,3
08001001097,3
08001001098,3
08001001099,3
08001001100,3
08001001101,3
08001001102,3
08001001103,3
08001001104,3
08001001105,3
08001001106,3
08001001107,3
08001001108,3
08001001109,3
08001001110,3
08001001111,3
08001001112,3
08001001113,3
08001001114,3
08001001115,3
08001001116,3
08001001117,3
08001001118,3
08001001119,3
08001001120,3
08001001121,3
08001001122,3
08001001123,3
08001001124,3
08001001125,3
08001001126,3
08001001127,3
08001001128,3
08001001129,3
08001001130,3
08001001131,3
08001001132,3
08001001133,3
08001001134,3
08001001135,3
08001001136,3
08001001137,3
08001001138,3
08001001139,3
08001001140,3
08001001141,3
08001001142,3
08001001143,3
08001001144,3
08001001145,3
08001001146,3
08001001147,3
08001001148,3
08001001149,3
08001001150,3
08001001151,3
08001001152,3
08001001153,3
08001001154,3
08001001155,3
08001001156,3
08001001157,3
08001001158,3
08001001159,3
08001001160,3
08001001161,3
08001001162,3
08001001163,3
08001001164,3
08001001165,3
08001001166,3
08001001167,3
08001001168,3
08001001169,3
08001001170,3
08001001171,3
08001001172,3
08001001173,3
08001001174,3
08001001175,3
08001001176,3
08001001177,3
08001001178,3
08001001179,3
08001001180,3
08001001181,3
08001001182,3
08001001183,3
08001001184,3
08001001185,3
08001001186,3
08001001187,3
08001001188,3
08001001189,3
08001001190,3
08001001191,3
08001001192,3
08001001193,3
08001001194,3
08001001195,3
08001001196,3
08001001197,3
08001001198,3
08001001199,3
08001001200,3
08001001201,3
08001001202,3
08001001203,3
08001001204,3
08001001205,3
08001001206,3
08001001207,3
08001001208,3
08001001209,3
08001001210,3
08001001211,3
08001001212,3
08001001213,3
08001001214,3
08001001215,3
08001001216,3
08001001217,3
08001001218,3
08001001219,3
08001001220,3
08001001221,3
08001001222,3
08001001223,3
08001001224,3
08001001225,3
08001001226,3
08001001227,3
08001001228,3
08001001229,3
08001001230,3
08001001231,3
08001001232,3
08001001233,3
08001001234,3
08001001235,3
08001001236,3
08001001237,5
08001001238,5
08001001239,5
08001001240,5
08001001241,5
08001001242,5
08001001243,3
08001001244,3
08001001245,5
08001001246,5
08001001247,3
08001001248,3
08001001249,3
08001001250,3
08001001251,3
08001001252,3
08001001253,3
08001001254,3
08001001255,3
08003003001,4
08003003002,4
08003003003,4
08003003004,4
08003003005,4
08003003006,4
08003003007,4
08003003008,4
08005005101,1
08005005102,1
08005005103,1
08005005104,1
08005005105,1
08005005106,1
08005005107,1
08005005108,1
08005005109,1
08005005110,1
08005005111,1
08005005112,1
08005005113,1
08005005114,1
08005005115,1
08005005116,1
08005005117,1
08005005118,1
08005005119,1
08005005120,1
08005005121,1
08005005122,1
08005005123,1
08005005124,1
08005005125,1
08005005126,1
08005005127,1
08005005128,1
08005005129,1
08005005130,1
08005005131,1
08005005132,1
08005005133,7
08005005134,7
08005005135,1
08005005136,7
08005005137,7
08005005138,7
08005005139,7
08005005140,1
08005005141,1
08005005142,1
08005005143,1
08005005144,1
08005005145,1
08005005146,1
08005005147,1
08005005148,1
08005005149,1
08005005150,1
08005005151,1
08005005152,1
08005005153,1
08005005154,1
08005005155,1
08005005156,1
08005005157,1
08005005158,1
08005005159,1
08005005160,1
08005005161,1
08005005162,1
08005005163,1
08005005164,1
08005005165,1
08005005166,1
08005005167,1
08005005168,1
08005005169,1
08005005170,1
08005005171,1
08005005172,1
08005005173,1
08005005174,1
08005005175,1
08005005176,1
08005005177,1
08005005178,1
08005005179,1
08005005180,1
08005005181,1
08005005182,1
08005005183,1
08005005184,1
08005005185,1
08005005186,1
08005005187,1
08005005188,1
08005005189,1
08005005190,1
08005005191,1
08005005192,1
08005005193,1
08005005194,1
08005005195,1
08005005196,1
08005005197,1
08005005201,1
08005005202,1
08005005203,1
08005005204,1
08005005205,1
08005005206,1
08005005207,1
08005005208,1
08005005209,1
08005005210,1
08005005211,1
08005005212,1
08005005213,1
08005005214,1
08005005215,1
08005005216,1
08005005217,1
08005005218,1
08005005219,1
08005005220,1
08005005221,1
08005005222,1
08005005223,1
08005005224,1
08005005225,1
08005005226,1
08005005227,1
08005005228,1
08005005229,1
08005005230,1
08005005231,7
08005005232,7
08005005233,1
08005005234,7
08005005235,1
08005005236,1
08005005237,1
08005005238,1
08005005239,1
08005005240,1
08005005241,1
08005005242,1
08005005243,7
08005005244,7
08005005245,7
08005005246,7
08005005247,7
08005005248,7
08005005249,7
08005005250,7
08005005251,7
08005005252,7
08005005253,7
08005005254,7
08005005255,7
08005005256,7
08005005257,7
08005005258,7
08005005259,7
08005005260,7
08005005261,7
08005005262,7
08005005263,7
08005005264,7
08005005265,7
08005005266,7
08005005267,7
08005005268,7
08005005269,7
08005005270,7
08005005271,7
08005005272,7
08005005273,7
08005005274,7
08005005275,7
08005005276,7
08005005277,7
08005005278,7
08005005279,7
08005005280,7
08005005281,7
08005005282,7
08005005283,7
08005005284,7
08005005285,7
08005005286,1
08005005301,7
08005005302,7
08005005303,7
08005005304,7
08005005305,7
08005005306,7
08005005307,7
08005005308,7
08005005309,7
08005005310,7
08005005311,7
08005005312,7
08005005313,7
08005005314,7
08005005315,7
08005005316,7
08005005317,7
08005005318,7
08005005319,7
08005005320,7
08005005321,7
08005005322,7
08005005323,7
08005005324,7
08005005325,7
08005005326,7
08005005327,7
08005005328,7
08005005329,7
08005005330,7
08005005331,7
08005005332,7
08005005333,7
08005005334,7
08005005335,7
08005005336,7
08005005337,7
08005005338,7
08005005339,7
08005005340,7
08005005341,7
08005005342,7
08005005343,7
08005005344,5
08005005345,5
08005005346,5
08005005347,5
08005005348,5
08005005349,7
08005005350,7
08005005351,7
08005005352,7
08005005353,7
08005005354,7
08005005355,7
08005005356,7
08005005357,5
08005005358,5
08005005359,5
08005005360,5
08005005361,5
08005005362,5
08005005363,3
08005005364,8
08005005365,3
08005005366,5
08005005367,7
08005005368,7
08005005369,7
08005005370,7
08005005371,7
08005005372,7
08005005373,7
08005005374,5
08005005375,7
08005005376,7
08005005377,7
08005005378,7
08005005379,7
08005005380,7
08005005381,5
08005005401,7
08005005402,7
08005005403,7
08005005404,7
08005005405,7
08005005406,7
08005005407,7
08005005408,7
08005005409,7
08005005410,7
08005005411,7
08005005412,7
08005005413,7
08005005414,7
08005005416,7
08005005417,7
08005005418,7
08005005419,7
08005005420,7
08005005421,7
08005005422,7
08005005423,7
08005005424,7
08005005425,7
08005005426,7
08005005427,7
08005005428,7
08005005429,7
08005005430,7
08005005431,7
08005005432,7
08005005433,7
08005005434,7
08005005435,7
08005005436,7
08005005437,7
08005005438,7
08005005439,7
08005005440,7
08005005441,7
08005005442,7
08005005443,7
08005005444,7
08005005445,7
08005005446,7
08005005447,7
08005005448,7
08005005449,7
08005005450,7
08005005451,7
08005005452,7
08005005453,7
08005005454,7
08005005455,7
08005005456,7
08005005457,7
08005005458,7
08005005459,7
08005005460,7
08005005461,7
08005005462,7
08005005463,7
08005005464,7
08005005465,7
08005005466,7
08005005467,7
08005005468,7
08005005469,7
08005005470,7
08005005471,7
08005005472,7
08005005473,7
08005005474,7
08005005475,7
08005005501,7
08005005502,7
08005005503,3
08005005504,7
08005005505,7
08005005506,3
08005005507,7
08005005508,3
08005005509,7
08005005510,7
08005005511,7
08005005512,7
08005005513,7
08005005514,7
08005005515,7
08005005516,7
08005005517,7
08005005518,7
08005005519,7
08005005520,7
08005005521,7
08005005522,7
08005005523,7
08005005524,3
08005005525,3
08005005526,3
08005005527,3
08005005528,3
08005005529,3
08005005530,3
08005005531,3
08005005532,3
08005005533,3
08005005534,7
08005005535,7
08005005536,7
08005005537,7
08005005538,7
08005005539,7
08005005540,3
08005005541,3
08005005542,7
08005005543,3
08005005544,3
08005005545,5
08005005546,5
08005005547,5
08005005548,5
08005005549,5
08005005550,5
08005005551,5
08005005552,3
08005005553,3
08005005554,7
08005005555,7
08005005556,7
08005005557,7
08005005558,7
08005005559,7
08005005560,7
08005005561,7
08007007001,4
08007007002,4
08007007003,4
08007007004,4
08007007005,4
08007007006,4
08007007007,4
08007007008,4
08009009001,8
08009009002,8
08009009003,8
08009009004,8
08009009005,8
08009009006,8
08009009007,8
08009009008,8
08009009009,8
08011011001,8
08011011002,8
08011011003,8
08011011004,8
08011011005,8
08013013100,6
08013013101,6
08013013102,6
08013013103,6
08013013104,6
08013013105,6
08013013106,6
08013013107,6
08013013200,6
08013013201,6
08013013202,6
08013013203,6
08013013204,6
08013013205,6
08013013206,6
08013013207,6
08013013208,6
08013013209,6
08013013210,6
08013013211,6
08013013212,6
08013013213,6
08013013214,6
08013013300,6
08013013301,6
08013013302,6
08013013303,6
08013013304,6
08013013305,6
08013013306,6
08013013307,6
08013013308,6
08013013309,6
08013013310,6
08013013311,6
08013013312,6
08013013313,6
08013013314,6
08013013315,6
08013013316,2
08013013400,6
08013013401,6
08013013402,6
08013013403,6
08013013404,6
08013013405,2
08013013406,2
08013013407,2
08013013408,6
08013013409,6
08013013410,2
08013013411,2
08013013412,6
08013013413,6
08013013500,2
08013013501,2
08013013502,2
08013013503,2
08013013504,2
08013013505,2
08013013506,2
08013013507,2
08013013508,2
08013013600,2
08013013601,2
08013013602,2
08013013603,2
08013013604,2
08013013605,2
08013013606,2
08013013607,2
08013013608,2
08013013609,2
08013013610,2
08013013611,2
08013013612,2
08013013613,2
08013013614,2
08013013615,2
08013013616,2
08013013617,2
08013013618,2
08013013619,2
08013013620,2
08013013621,2
08013013622,2
08013013623,2
08013013624,2
08013013625,2
08013013626,2
08013013627,2
08013013628,2
08013013629,2
08013013630,2
08013013631,2
08013013632,2
08013013633,2
08013013634,2
08013013635,2
08013013636,2
08013013637,2
08013013638,2
08013013639,2
08013013640,2
08013013641,2
08013013642,2
08013013643,2
08013013644,2
08013013645,2
08013013646,2
08013013647,2
08013013648,2
08013013649,2
08013013650,2
08013013651,2
08013013652,2
08013013653,2
08013013654,2
08013013700,2
08013013701,2
08013013702,2
08013013703,2
08013013704,2
08013013705,2
08013013706,2
08013013707,2
08013013708,2
08013013800,2
08013013801,2
08013013802,2
08013013803,2
08013013804,2
08013013805,6
08013013806,6
08013013807,6
08013013808,6
08013013809,6
08013013810,6
08013013811,6
08013013812,6
08013013813,6
08013013814,6
08013013815,6
08013013816,6
08013013817,6
08013013818,6
08013013819,6
08013013820,6
08013013821,6
08013013822,6
08013013823,6
08013013824,6
08013013825,6
08013013826,6
08013013827,6
08013013828,6
08013013829,6
08013013830,6
08013013831,6
08013013832,6
08013013833,6
08013013834,6
08013013835,6
08013013836,6
08013013837,6
08013013838,6
08013013839,6
08013013840,6
08013013841,6
08013013842,6
08013013843,6
08013013844,6
08013013845,6
08013013846,6
08013013847,6
08013013848,6
08013013849,6
08013013850,6
08013013851,6
08013013852,6
08013013853,6
08013013854,6
08013013855,6
08013013856,6
08013013857,6
08013013858,6
08013013859,6
08013013860,6
08013013861,6
08013013862,6
08013013863,6
08013013864,6
08013013865,6
08013013866,6
08013013867,6
08013013868,6
08013013869,6
08013013870,6
08013013871,6
08013013872,6
08013013873,6
08013013874,6
08013013875,6
08013013876,6
08013013877,6
08013013878,6
08013013879,6
08013013880,6
08013013881,6
08013013882,6
08013013883,6
08013013884,6
08013013885,6
08013013886,6
08013013887,6
08013013888,6
08013013900,6
08013013901,6
08013013902,6
08013013903,6
08013013904,6
08013013905,6
08013013906,6
08013013908,6
08013013909,6
08013013910,6
08013013911,6
08013013912,2
08013013913,2
08013013914,6
08013013915,6
08013013916,2
08013013917,2
08013013918,2
08014014001,6
08014014002,6
08014014003,6
08014014004,3
08014014005,3
08014014006,6
08014014007,3
08014014008,3
08014014009,3
08014014010,6
08014014011,3
08014014012,6
08014014013,3
08014014014,6
08014014015,6
08014014016,6
08014014017,6
08014014018,3
08014014019,6
08014014020,6
08014014021,6
08014014022,6
08014014023,6
08014014024,6
08014014025,6
08014014026,6
08014014027,6
08014014028,6
08014014029,6
08014014030,6
08014014031,6
08014014032,6
08014014033,6
08014014034,6
08014014035,6
08014014036,6
08014014037,3
08015015001,4
08015015002,4
08015015003,4
08015015004,4
08015015005,4
08015015006,4
08015015007,4
08015015008,4
08015015009,4
08017017001,8
08017017002,8
08017017003,8
08017017004,8
08017017005,8
08019019001,4
08019019002,4
08019019003,4
08019019004,5
08019019005,5
08019019006,5
08019019007,5
08019019008,5
08019019009,5
08021021001,4
08021021002,4
08021021003,4
08021021004,4
08021021005,4
08021021006,4
08021021007,4
08021021008,4
08021021009,4
08021021010,4
08023023001,4
08023023002,4
08023023003,4
08023023004,4
08023023005,4
08023023006,4
08023023007,4
08023023008,4
08025025001,8
08025025002,8
08025025003,8
08025025004,8
08025025005,8
08025025006,8
08027027001,4
08027027002,4
08027027003,4
08029029001,6
08029029002,6
08029029003,6
08029029004,6
08029029005,6
08029029006,6
08029029007,6
08029029008,6
08029029009,6
08029029010,6
08029029011,6
08029029012,6
08029029013,6
08029029014,6
08029029015,6
08029029016,6
08029029017,6
08029029018,6
08029029019,6
08029029020,6
08031031101,5
08031031102,5
08031031103,5
08031031104,5
08031031105,5
08031031106,5
08031031107,5
08031031108,1
08031031109,1
08031031110,1
08031031111,1
08031031112,5
08031031113,1
08031031114,1
08031031115,5
08031031116,1
08031031117,1
08031031118,1
08031031119,1
08031031120,1
08031031121,1
08031031122,1
08031031123,1
08031031124,1
08031031125,1
08031031126,1
08031031127,1
08031031128,1
08031031129,1
08031031130,1
08031031131,1
08031031132,1
08031031201,7
08031031202,7
08031031203,7
08031031204,7
08031031205,7
08031031206,7
08031031207,7
08031031208,7
08031031209,7
08031031210,7
08031031211,7
08031031212,7
08031031213,7
08031031214,7
08031031215,7
08031031216,7
08031031217,7
08031031218,7
08031031219,7
08031031220,7
08031031221,7
08031031222,7
08031031223,7
08031031224,7
08031031225,7
08031031226,7
08031031227,7
08031031228,7
08031031229,7
08031031230,7
08031031231,7
08031031232,1
08031031233,7
08031031234,7
08031031235,1
08031031236,1
08031031237,7
08031031238,7
08031031239,7
08031031240,1
08031031241,7
08031031242,1
08031031243,1
08031031244,1
08031031245,1
08031031246,7
08031031247,7
08031031248,1
08031031249,1
08031031250,7
08031031401,5
08031031402,1
08031031403,3
08031031404,5
08031031405,1
08031031406,1
08031031407,5
08031031408,5
08031031409,5
08031031410,1
08031031411,1
08031031412,5
08031031413,5
08031031414,5
08031031415,5
08031031416,5
08031031417,1
08031031418,5
08031031419,5
08031031420,5
08031031421,5
08031031422,5
08031031423,1
08031031424,5
08031031425,1
08031031426,5
08031031427,1
08031031428,1
08031031429,1
08031031430,1
08031031431,1
08031031432,5
08031031433,5
08031031434,1
08031031435,5
08031031436,5
08031031501,3
08031031502,3
08031031503,7
08031031504,3
08031031505,1
08031031506,1
08031031507,1
08031031508,1
08031031509,1
08031031510,7
08031031511,1
08031031512,1
08031031513,1
08031031514,1
08031031515,7
08031031516,7
08031031517,1
08031031518,1
08031031519,1
08031031520,7
08031031521,7
08031031522,5
08031031523,1
08031031524,1
08031031525,7
08031031526,7
08031031527,7
08031031528,7
08031031529,1
08031031530,1
08031031531,1
08031031532,7
08031031533,5
08031031534,5
08031031535,1
08031031536,5
08031031537,1
08031031538,1
08031031539,1
08031031601,7
08031031602,3
08031031603,3
08031031604,3
08031031605,3
08031031606,3
08031031607,3
08031031608,7
08031031609,7
08031031610,7
08031031611,7
08031031612,3
08031031613,3
08031031614,3
08031031615,3
08031031616,7
08031031617,7
08031031618,7
08031031619,7
08031031620,7
08031031621,7
08031031622,7
08031031623,3
08031031624,7
08031031625,7
08031031626,7
08031031627,7
08031031628,7
08031031629,7
08031031630,7
08031031631,7
08031031632,7
08031031633,7
08031031634,7
08031031635,7
08031031636,7
08031031637,7
08031031638,7
08031031639,7
08031031640,7
08031031641,7
08031031642,7
08031031643,7
08031031644,7
08031031645,7
08031031646,7
08031031647,7
08031031648,7
08031031649,7
08031031650,7
08031031651,7
08031031652,7
08031031701,3
08031031702,3
08031031703,3
08031031704,3
08031031705,3
08031031706,3
08031031707,3
08031031708,3
08031031709,3
08031031710,3
08031031711,3
08031031712,3
08031031713,3
08031031714,3
08031031715,5
08031031716,5
08031031717,5
08031031718,3
08031031719,3
08031031720,3
08031031721,5
08031031722,5
08031031723,5
08031031724,5
08031031725,5
08031031726,5
08031031727,5
08031031728,5
08031031729,5
08031031730,5
08031031731,5
08031031732,5
08031031733,5
08031031734,5
08031031735,5
08031031736,5
08031031737,5
08031031738,5
08031031739,5
08031031740,5
08031031741,5
08031031742,5
08031031743,3
08031031744,3
08031031801,7
08031031802,7
08031031803,7
08031031804,7
08031031805,7
08031031806,7
08031031807,3
08031031808,3
08031031809,7
08031031810,7
08031031811,7
08031031812,7
08031031813,7
08031031814,7
08031031815,7
08031031816,7
08031031817,7
08031031818,7
08031031819,7
08031031820,7
08031031821,7
08031031822,3
08031031823,7
08031031824,7
08031031825,3
08031031826,7
08031031827,7
08031031828,7
08031031829,7
08031031830,7
